,max_syspressure,int_syspressure,max_SN8 ,int_SN8 ,res_SN8 ,max_SN17 ,int_SN17 ,res_SN17 ,max_SN18 ,int_SN18 ,res_SN18 ,max_SN80 ,int_SN80 ,res_SN80 ,max_SN93 ,int_SN93 ,res_SN93 ,max_SN99 ,int_SN99 ,res_SN99 ,max_SN100 ,int_SN100 ,res_SN100 ,max_SN105 ,int_SN105 ,res_SN105 ,max_SN107 ,int_SN107 ,res_SN107 ,L3
35,119.635,651.6532003,49.7366,370.5556611,3.799530482,48.6536,326.2686173,2.616693012,48.6536,326.1180779,3.252392286,48.2209,313.7929524,1.426671902,49.5674,363.6470799,4.775774222,48.2037,313.8242886,1.455899548,49.7557,371.626714,3.891601082,48.6542,326.1982834,2.57492689,48.2374,313.6967116,1.956351156,298.8299561
36,206.436,781.4487566,56.2554,184.9352237,0,21.7416,120.8202359,0,21.7742,120.3531146,0,18.6511,103.1021251,0,52.0085,173.1885193,0,18.6057,103.1490687,0,56.7978,186.6895312,0,21.749,120.6880703,0,18.6771,103.0155534,0,298.5765991
37,187.9,630.5347737,46.8143,201.9658161,0,20.2005,149.7506999,0,20.1905,149.4354375,0,19.6569,135.3312594,0,43.0552,191.350966,0,19.6534,135.3811196,0,47.3093,203.4107625,0,20.2019,149.6414239,0,19.6633,135.2237878,0,298.5869446
38,221.989,591.4204067,131.672,518.2859305,13.46773357,128.041,525.0563931,16.18125207,128.044,524.5865838,16.25329238,127.848,524.9452944,17.25355537,130.421,520.7377909,14.08243116,127.848,525.0966346,17.28470137,131.859,518.2519583,13.46200302,128.042,524.9486192,16.14043509,127.849,524.7146121,17.29968198,299.1481934
39,172.753,534.819412,94.5113,478.9056212,10.97252408,92.6239,482.617606,11.2795172,92.6252,482.2458132,11.5089172,92.4644,483.2652716,12.216002,94.0089,480.4467382,11.41201388,92.464,483.3892554,12.26986304,94.5911,478.9118642,11.00501904,92.6246,482.5138778,11.22661548,92.465,483.0671252,12.44343252,299.05896
40,177.17,941.6056074,60.3196,531.57318,15.87509024,46.2984,451.3055723,14.44944159,46.2952,450.5878191,14.46528395,45.8733,427.3638115,12.79029923,57.2781,518.9831515,16.37408238,45.854,427.4906138,12.84313946,60.6994,533.6211331,16.00737609,46.2999,451.0850085,14.36446563,45.8875,427.1906214,12.984068,299.0793457
41,158.545,608.4925179,44.5746,223.667434,0,20.7246,168.2354693,0,20.7189,167.8355453,0,20.2024,151.5788886,0,41.339,213.530648,0,20.2,151.6787991,0,44.9767,225.1303344,0,20.7037,168.1195753,0,20.2088,151.4640176,0,298.592041
42,145.623,577.8263854,36.4744,307.9701843,1.86026956,29.3973,269.8903069,0,29.4003,269.5489898,0,28.9153,258.6368645,0,33.4945,300.0715956,1.929697342,28.9703,258.6873942,0,36.8511,309.1090304,1.97980022,29.3982,269.8241063,0,28.9148,258.4423193,0,298.7181396
43,191.45,548.868485,122.045,455.6707243,6.114647565,119.61,453.6038842,5.371962687,119.612,453.2236418,5.76804028,119.461,452.7784238,5.926284103,121.203,455.5884463,6.433333084,119.46,452.8936416,5.968825942,122.159,455.9325654,6.192352435,119.611,453.4944598,5.330122164,119.461,452.5705163,6.250992471,298.9154053
44,225.218,627.9507002,115.782,551.1209591,15.89983952,112.48,548.126604,15.70653537,112.487,546.8691141,15.43470204,112.139,546.4308001,15.88338988,115.119,550.8079643,15.85868155,112.137,546.7883664,15.93236001,115.891,551.5286956,15.95578048,112.484,547.7989748,15.63330343,112.142,545.9088192,15.84327425,299.1761169
