sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
陽明,臺北市,67,臭氧八小時,普通,0.7,0.36,61.3,60.5,28,14,1.8,2.4,0.6,,,"2023/04/07 22:00:00",0.3,12,21,0,121.529583,25.182722,64
宜蘭,宜蘭縣,48,,良好,0,0.36,44.8,52,24,,4.6,5.4,0.7,1,300,"2023/04/07 22:00:00",0.3,11,24,0,121.746394,24.747917,65
冬山,宜蘭縣,45,,良好,0.5,0.34,57,49.4,36,11,2.6,3,0.3,1.8,267,"2023/04/07 22:00:00",0.3,13,30,0,121.792928,24.632203,66
三重,新北市,79,細懸浮微粒,普通,0.9,1.19,25,19.3,45,28,36.8,67.8,31,-,-,"2023/04/07 22:00:00",1.4,26,43,1,121.493806,25.072611,67
中壢,桃園市,78,細懸浮微粒,普通,1,1.14,23.8,24,48,25,33.9,52,18,1,288,"2023/04/07 22:00:00",0.9,26,43,1,121.221667,24.953278,68
竹山,南投縣,53,細懸浮微粒,普通,0.7,0.5,22.9,41.8,35,18,17.1,17.7,0.6,1.5,11,"2023/04/07 22:00:00",0.4,16,27,0,120.677306,23.756389,69
永和,新北市,73,細懸浮微粒,普通,0.8,0.55,48.4,43.8,44,27,13.6,15.7,2.1,2.5,81,"2023/04/07 22:00:00",0.6,24,40,0,121.516306,25.017,70
復興,高雄市,82,細懸浮微粒,普通,1.7,0.77,30.2,46,63,31,23,24.1,1.1,1.4,267,"2023/04/07 22:00:00",0.7,28,52,1,120.312017,22.608711,71
埔里,南投縣,35,,良好,1.3,0.51,35.6,38,21,8,9.4,9.6,0.2,0.3,291,"2023/04/07 22:00:00",0.4,8,19,1,120.967903,23.968842,72
馬祖,連江縣,75,細懸浮微粒,普通,,0.37,67.8,62.6,72,37,5,5.2,0.1,0.9,335,"2023/04/07 22:00:00",0.3,25,37,0,119.93149378,26.15188416,75
金門,金門縣,51,細懸浮微粒,普通,0.1,0.4,27.3,27.9,30,16,7.3,8.2,0.9,2.8,46,"2023/04/07 22:00:00",0.4,15,26,0,118.312256,24.432133,77
